date,open,high,low,close,volume
2022-09-14 22:25:45.957089,146.7,147.74,146.7,147.24,1117826
2022-09-15 22:25:45.957089,142.28,142.38,140.58,141.72,902418
2022-09-16 22:25:45.957089,135.48,138.95,135.48,137.15,902637
2022-09-19 22:25:45.957089,133.07,133.07,133.03,133.04,978215
2022-09-20 22:25:45.957089,132.11,132.18,130.62,132.18,827501
2022-09-21 22:25:45.957089,129.71,129.86,128.71,128.83,1155295
2022-09-22 22:25:45.957089,133.89,133.89,128.15,132.53,873971
2022-09-23 22:25:45.957089,134.47,136.35,132.41,135.24,1024148
2022-09-26 22:25:45.957089,136.25,136.95,134.41,135.33,1063478
2022-09-27 22:25:45.957089,136.7,136.71,135.91,136.09,754731
2022-09-28 22:25:45.957089,134.64,134.64,132.36,133.42,1007266
2022-09-29 22:25:45.957089,129.72,130.33,128.42,128.69,971421
2022-09-30 22:25:45.957089,133.0,136.38,131.06,132.55,850078
2022-10-03 22:25:45.957089,135.33,135.42,135.33,135.38,896714
2022-10-04 22:25:45.957089,133.21,133.26,132.29,133.11,543010
2022-10-05 22:25:45.957089,136.31,136.31,134.89,135.78,939302
2022-10-06 22:25:45.957089,135.76,137.87,134.91,137.62,1183613
2022-10-07 22:25:45.957089,134.17,136.28,133.59,136.27,993130
2022-10-10 22:25:45.957089,137.45,138.36,137.06,137.37,617681
2022-10-11 22:25:45.957089,138.64,139.15,137.6,137.67,893450
2022-10-12 22:25:45.957089,138.07,141.71,138.07,138.97,1458957
2022-10-13 22:25:45.957089,136.15,137.07,134.93,136.05,983002
2022-10-14 22:25:45.957089,139.08,139.19,137.53,138.46,1367220
2022-10-17 22:25:45.957089,137.51,139.56,136.85,138.27,1154567
2022-10-18 22:25:45.957089,135.26,136.3,134.23,135.18,942841
2022-10-19 22:25:45.957089,140.76,140.79,138.36,140.78,1133600
2022-10-20 22:25:45.957089,136.02,136.08,136.02,136.06,745295
2022-10-21 22:25:45.957089,135.18,135.21,135.16,135.2,1566574
2022-10-24 22:25:45.957089,142.57,142.78,141.83,142.63,1082862
2022-10-25 22:25:45.957089,138.78,139.63,137.03,138.68,903783
2022-10-26 22:25:45.957089,134.59,135.07,134.17,134.61,167905
2022-10-27 22:25:45.957089,138.19,138.53,137.97,138.16,1173862
2022-10-28 22:25:45.957089,143.61,146.81,142.06,144.08,806504
2022-10-31 22:25:45.957089,147.25,149.7,147.25,147.54,995898
2022-11-01 22:25:45.957089,145.73,145.73,145.69,145.71,953249
2022-11-02 22:25:45.957089,143.1,143.91,140.34,143.15,1107375
2022-11-03 22:25:45.957089,145.63,145.63,144.03,145.1,1097227
2022-11-04 22:25:45.957089,145.24,145.42,145.24,145.33,893970
2022-11-07 22:25:45.957089,141.43,142.22,140.6,140.98,461568
2022-11-08 22:25:45.957089,141.97,142.37,141.97,142.23,896320
2022-11-09 22:25:45.957089,147.83,148.39,147.44,147.51,1165077
2022-11-10 22:25:45.957089,148.88,149.03,148.87,148.92,1077373
2022-11-11 22:25:45.957089,141.3,144.05,138.95,141.82,1436224
2022-11-14 22:25:45.957089,143.12,143.15,143.07,143.09,1048703
2022-11-15 22:25:45.957089,148.74,148.74,147.83,148.23,879611
2022-11-16 22:25:45.957089,143.87,150.92,143.55,149.71,994471
2022-11-17 22:25:45.957089,143.74,145.59,143.74,145.23,1218752
2022-11-18 22:25:45.957089,140.96,143.22,139.59,141.41,987927
2022-11-21 22:25:45.957089,144.11,144.52,143.93,144.12,894469
2022-11-22 22:25:45.957089,142.35,142.35,142.1,142.29,645029
2022-11-23 22:25:45.957089,140.15,140.61,140.01,140.29,1128062
2022-11-24 22:25:45.957089,142.96,145.35,142.96,143.65,705335
2022-11-25 22:25:45.957089,148.12,149.03,148.03,148.46,736997
2022-11-28 22:25:45.957089,147.37,147.4,147.26,147.39,1368354
2022-11-29 22:25:45.957089,148.39,149.79,147.62,148.94,793463
2022-11-30 22:25:45.957089,150.0,151.0,149.0,149.7,1261636
2022-12-01 22:25:45.957089,146.48,146.7,146.11,146.67,1244015
2022-12-02 22:25:45.957089,151.89,151.89,151.88,151.88,1013083
2022-12-05 22:25:45.957089,155.63,156.28,153.26,155.86,1137257
2022-12-06 22:25:45.957089,161.7,162.03,157.8,161.28,1051253
2022-12-07 22:25:45.957089,165.94,166.24,165.67,166.01,946278
2022-12-08 22:25:45.957089,164.25,166.71,163.3,164.17,1381424
2022-12-09 22:25:45.957089,166.81,167.51,166.24,166.75,1001067
2022-12-12 22:25:45.957089,166.8,166.86,165.59,166.37,838897
2022-12-13 22:25:45.957089,167.81,167.93,167.51,167.77,976875
2022-12-14 22:25:45.957089,166.05,166.15,165.93,166.03,631810
2022-12-15 22:25:45.957089,164.23,165.0,164.23,164.84,917927
2022-12-16 22:25:45.957089,166.43,169.18,164.64,165.97,923347
2022-12-19 22:25:45.957089,168.11,168.42,168.11,168.13,730044
2022-12-20 22:25:45.957089,172.4,178.32,170.08,172.39,563371
2022-12-21 22:25:45.957089,177.09,177.21,175.8,176.83,1386006
2022-12-22 22:25:45.957089,169.56,171.61,169.5,170.35,576824
2022-12-23 22:25:45.957089,174.74,176.3,174.74,175.21,470654
2022-12-26 22:25:45.957089,176.58,178.21,176.58,177.06,1297249
2022-12-27 22:25:45.957089,179.26,179.67,178.91,179.3,1320228
2022-12-28 22:25:45.957089,188.29,188.32,188.22,188.29,1354146
2022-12-29 22:25:45.957089,184.1,188.13,183.3,185.9,1353779
2022-12-30 22:25:45.957089,178.67,179.34,178.35,178.53,1074462
2023-01-02 22:25:45.957089,173.5,175.31,173.5,174.46,1110421
2023-01-03 22:25:45.957089,172.22,172.44,171.15,171.97,562911
2023-01-04 22:25:45.957089,177.68,178.02,177.34,177.69,1132908
2023-01-05 22:25:45.957089,175.7,175.7,173.08,174.12,1288247
2023-01-06 22:25:45.957089,171.4,171.4,169.61,170.81,1036878
2023-01-09 22:25:45.957089,171.79,171.9,171.34,171.7,1318998
2023-01-10 22:25:45.957089,164.73,167.64,164.73,166.13,1263174
2023-01-11 22:25:45.957089,170.0,170.96,167.15,168.79,635390
2023-01-12 22:25:45.957089,165.47,165.73,164.55,165.01,1275530
2023-01-13 22:25:45.957089,165.54,165.54,162.82,164.28,1364618
2023-01-16 22:25:45.957089,169.93,172.08,169.93,171.01,670786
2023-01-17 22:25:45.957089,173.94,178.26,169.22,171.28,1402814
2023-01-18 22:25:45.957089,176.06,176.12,175.52,176.0,1665235
2023-01-19 22:25:45.957089,175.75,175.75,175.36,175.52,1055942
2023-01-20 22:25:45.957089,174.87,175.72,174.4,175.08,1101855
2023-01-23 22:25:45.957089,176.73,177.36,175.85,176.41,1476863
2023-01-24 22:25:45.957089,177.39,177.53,177.31,177.37,897715
2023-01-25 22:25:45.957089,172.7,173.39,170.93,172.86,878332
2023-01-26 22:25:45.957089,179.11,181.04,179.11,180.7,1095395
2023-01-27 22:25:45.957089,179.32,179.32,175.34,176.42,514571
2023-01-30 22:25:45.957089,171.47,172.86,169.32,171.44,1090248
2023-01-31 22:25:45.957089,172.85,173.28,171.69,172.79,371939
2023-02-01 22:25:45.957089,172.96,173.99,172.76,172.96,1030688
2023-02-02 22:25:45.957089,172.68,173.76,172.5,172.95,1445486
2023-02-03 22:25:45.957089,170.16,171.03,169.13,170.3,315913
2023-02-06 22:25:45.957089,169.31,169.77,167.9,168.8,1476812
2023-02-07 22:25:45.957089,163.76,164.59,162.32,163.86,925561
2023-02-08 22:25:45.957089,176.52,177.23,175.76,176.68,1263240
2023-02-09 22:25:45.957089,180.39,184.04,177.21,179.53,1202706
2023-02-10 22:25:45.957089,184.44,188.11,184.44,187.21,942913
2023-02-13 22:25:45.957089,193.62,197.51,193.62,194.5,1351708
2023-02-14 22:25:45.957089,190.11,190.11,190.11,190.11,802656
