date,open,high,low,close,volume
2023-06-21 22:19:30.575713,296.03,296.03,279.32,291.54,1445447
2023-06-22 22:19:30.575713,296.75,297.61,295.07,296.69,624386
2023-06-23 22:19:30.575713,302.69,304.93,302.12,303.24,1052046
2023-06-26 22:19:30.575713,301.13,308.72,296.38,300.02,1474509
2023-06-27 22:19:30.575713,304.77,311.02,304.77,307.1,1063962
2023-06-28 22:19:30.575713,302.34,308.29,300.82,304.08,724446
2023-06-29 22:19:30.575713,308.8,314.96,305.25,310.87,837143
2023-06-30 22:19:30.575713,325.17,326.37,322.85,323.63,750606
2023-07-03 22:19:30.575713,327.5,335.15,324.97,328.43,1369196
2023-07-04 22:19:30.575713,322.89,323.19,322.89,323.11,1179272
2023-07-05 22:19:30.575713,322.0,322.0,318.53,320.68,1220531
2023-07-06 22:19:30.575713,320.41,323.01,315.71,319.48,851591
2023-07-07 22:19:30.575713,317.31,318.91,317.09,317.75,741654
2023-07-10 22:19:30.575713,314.49,318.42,307.07,314.5,711658
2023-07-11 22:19:30.575713,323.99,329.54,314.32,320.05,1394121
2023-07-12 22:19:30.575713,327.97,329.05,323.86,327.65,728205
2023-07-13 22:19:30.575713,325.89,325.89,319.77,325.27,854083
2023-07-14 22:19:30.575713,323.54,330.79,319.5,324.33,1091036
2023-07-17 22:19:30.575713,322.97,323.98,321.54,322.72,985677
2023-07-18 22:19:30.575713,326.67,328.1,326.28,326.83,599170
2023-07-19 22:19:30.575713,313.89,314.41,313.66,313.86,618624
2023-07-20 22:19:30.575713,302.03,304.87,300.0,301.64,800172
2023-07-21 22:19:30.575713,290.18,295.77,290.18,292.8,1096726
2023-07-24 22:19:30.575713,285.82,286.32,285.82,286.03,881790
2023-07-25 22:19:30.575713,291.96,291.96,287.3,289.92,1033496
2023-07-26 22:19:30.575713,286.21,294.59,286.21,287.39,1039284
2023-07-27 22:19:30.575713,292.99,293.1,292.86,293.0,805446
2023-07-28 22:19:30.575713,297.13,298.03,296.33,297.31,549875
2023-07-31 22:19:30.575713,298.87,305.65,298.87,301.04,491489
2023-08-01 22:19:30.575713,298.48,299.86,296.0,298.57,1163296
2023-08-02 22:19:30.575713,286.07,288.45,286.07,288.44,837871
2023-08-03 22:19:30.575713,289.74,290.71,289.12,289.73,1384201
2023-08-04 22:19:30.575713,279.68,279.71,279.64,279.68,909812
2023-08-07 22:19:30.575713,280.96,283.91,280.6,282.36,1086946
2023-08-08 22:19:30.575713,276.82,276.86,276.75,276.82,1151847
2023-08-09 22:19:30.575713,281.46,285.06,281.01,283.46,1228762
2023-08-10 22:19:30.575713,275.42,288.23,275.42,282.63,1053088
2023-08-11 22:19:30.575713,280.71,281.62,279.96,281.02,795268
2023-08-14 22:19:30.575713,278.1,279.43,277.55,278.46,897891
2023-08-15 22:19:30.575713,270.77,270.77,266.26,268.5,1031660
2023-08-16 22:19:30.575713,272.05,272.24,271.61,271.89,864503
2023-08-17 22:19:30.575713,283.09,284.39,278.86,282.13,1146328
2023-08-18 22:19:30.575713,273.13,273.13,268.95,272.67,1387576
2023-08-21 22:19:30.575713,266.08,268.26,262.62,265.75,857957
2023-08-22 22:19:30.575713,268.89,270.84,263.2,270.48,915958
2023-08-23 22:19:30.575713,274.14,274.26,273.51,273.97,906736
2023-08-24 22:19:30.575713,268.75,272.17,268.75,269.94,1248847
2023-08-25 22:19:30.575713,280.88,281.27,280.88,281.15,1191218
2023-08-28 22:19:30.575713,277.54,279.77,272.68,275.28,895266
2023-08-29 22:19:30.575713,274.49,279.31,271.07,274.62,1483963
2023-08-30 22:19:30.575713,272.3,272.3,271.53,271.73,928407
2023-08-31 22:19:30.575713,279.11,279.45,278.91,279.03,1342698
2023-09-01 22:19:30.575713,289.11,289.17,288.94,289.12,1223769
